,Title,Date,Summary,Rating,Metascore
12,Hamilton,"Jul 3, 2020","The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Filmed live on Broadway from the Richard Rodgers Theatre with the original Broadway cast.",PG-13,88
13,Wolfwalkers,"Nov 13, 2020","In a time of superstition and magic, a young apprentice hunter, Robyn Goodfellowe, journeys to Ireland with her father to wipe out the last wolf pack. While exploring the forbidden lands outside the city walls, Robyn befriends a free- spirited girl, Mebh, a member of a mysterious tribe rumored to have the ability to transform into wolves by night. As they search for Mebh’s missing mother, Robyn uncovers a secret that draws her further into the enchanted world of the wolfwalkers and risks turning into the very thing her father is tasked to destroy.",TV-PG,87
14,Ma Rainey's Black Bottom,"Nov 25, 2020","Tensions and temperatures rise over the course of an afternoon recording session in 1920s Chicago as a band of musicians await trailblazing performer, the legendary “Mother of the Blues,” Ma Rainey (Viola Davis). Late to the session, the fearless, fiery Ma engages in a battle of wills with her white manager and producer over control of her music. As the band waits in the studio’s claustrophobic rehearsal room, ambitious trumpeter Levee (Chadwick Boseman) — who has an eye for Ma’s girlfriend and is determined to stake his own claim on the music industry — spurs his fellow musicians into an eruption of stories revealing truths that will forever change the course of their lives.",R,87
15,Small Axe: Education,"Dec 18, 2020","Education is the coming of age story of 12-year-old Kingsley (Kenyah Sandy), who has a fascination for astronauts and rockets. When Kingsley is pulled to the headmaster's office for being disruptive in class, he discovers he's being sent to a school for those with ""special needs."" Distracted by working two jobs, his parents (Sharlene Whyte, Daniel Francis) are unaware of the unofficial segregation policy at play, preventing many Black children from receiving the education they deserve, until a group of West Indian women take matters into their own hands.",TV-MA,87
16,Nomadland,"Dec 4, 2020","Following the economic collapse of a company town in rural Nevada, Fern (Frances McDormand) packs her van and sets off on the road exploring a life outside of conventional society as a modern-day nomad.",R,87
17,Rewind,"May 8, 2020","Digging through the vast collection of his father's home videos, a young man reconstructs the unthinkable story of his boyhood. ",Not Rated,87
18,What the Constitution Means to Me,"Oct 16, 2020","A filmed version of the Broadway production of Heidi Schreck's play presenting multiple facets, historical perspectives and personal experiences with the U.S. Constitution.",Not Rated,87
19,The Wolf House,"May 15, 2020","Maria, a young woman finds refuge in a house in the south of Chile after escaping from a sect of German religious fanatics. She is welcomed into the home by two pigs, the only inhabitants of the place. Like in a dream, the universe of the house reacts to Maria’s feelings. The animals transform slowly into humans and the house becomes a nightmarish world. Inspired on the actual case of Colonia Dignidad, The Wolf House masquerades as an animated fairy tale produced by the leader of the sect in order to indoctrinate its followers. [KimStim]",Not Rated,86
20,Divine Love,"Nov 13, 2020","Brazil, 2027. Joana (Dira Paes) uses her bureaucratic job to convince divorcing couples to stay together. Her secret weapon is Divine Love, an evangelical cult she belongs to that mixes in a little swinging and group fun into its more traditional prayers and services. Joana herself can’t seem to get pregnant by her own husband, but in an attempt to save her own marriage, she prays regularly at a very unusual religious drive-in, looking for a miracle to help her conceive.",Not Rated,86
21,Welcome to Chechnya,"Jun 30, 2020","Searing urgency is a guiding force as Welcome to Chechnya shadows a group of activists who risk unimaginable peril to confront the ongoing anti-LGBTQ+ pogrom raging in the repressive and closed Russian republic. Since 2016, Chechnya’s tyrannical leader, Ramzan Kadyrov, has waged a depraved operation to “cleanse the blood” of LGBTQ+ Chechens, overseeing a government-directed campaign to detain, torture, and execute them. With no help from the Kremlin and only faint global condemnation of the violence, a vast and secretive network of activists takes matters into its own hands.",TV-MA,86
22,Vitalina Varela,"Feb 21, 2020","A Cape Verdean woman who has travelled to Lisbon to reunite with her husband, after two decades of separation, arrives  mere days after his funeral. Alone in a strange forbidding land, she perseveres and begins to establish a new life. ",Not Rated,86
23,Crip Camp: A Disability Revolution,"Mar 25, 2020","Down the road from Woodstock, a revolution blossomed at a ramshackle summer camp for teenagers with disabilities, transforming their lives and igniting a landmark movement.",R,86
24,Athlete A,"Jun 24, 2020","In Athlete A, filmmakers Bonni Cohen and Jon Shenk delve into the unchecked abuse inside the world of elite competitive gymnastics. Equal parts devastating and inspiring, the film follows the IndyStar reporters as they reveal the extensive cover-up and culture of cruelty that was allowed to thrive within elite gymnastics, the attorney fighting the institutions, and most importantly, the brave whistle-blowers who refuse to be silenced. [Netflix]",PG-13,85
25,To the Ends of the Earth,"Dec 11, 2020","Yoko (Atsuko Maeda) travels with a small crew to Uzbekistan to shoot an episode of her travel reality show. In front of the camera, her persona is carefree and happy-go-lucky, but behind the scenes she is cautious and introverted. Despite her best efforts, the filming of the television series ends unsuccessfully, and frustrated by the failure, she sets off into the mysterious country. Lost in the streets of Tashkent, she finds herself adrift and alone, confronting her deepest fears and hidden aspirations. [KimStim]",Not Rated,85
26,Nomad: In the Footsteps of Bruce Chatwin,"Aug 26, 2020","When Bruce Chatwin was dying of AIDS, his friend Werner Herzog made a final visit. As a parting gift, Chatwin gave him his rucksack. Thirty years later, Herzog sets out on his own journey, inspired by Chatwin's passion for the nomadic life.",Not Rated,85
27,Beanpole,"Jan 29, 2020","1945, Leningrad. World War II has devastated the city, demolishing its buildings and leaving its citizens in tatters, physically and mentally. Although the siege - one of the worst in history - is finally over, life and death continue their battle in the wreckage that remains. Two young women, Iya and Masha, search for meaning and hope in the struggle to rebuild their lives amongst the ruins.",Unrated,85
28,Black Is King,"Jul 31, 2020","Black Is King, based on the music of The Lion King: The Gift, reimagines the lessons from the 2019 film for today’s young kings and queens in search of their own crowns.",TV-14,84
29,76 Days,"Dec 4, 2020","Raw and intimate, this documentary captures the struggles of patients and frontline medical professionals battling the COVID-19 pandemic in Wuhan.",Not Rated,84
30,"Small Axe: Red, White and Blue","Dec 4, 2020","Leroy Logan (John Boyega) is a young forensic scientist with a yearning to do more than his solitary laboratory work. When he sees his father assaulted by two policemen, he finds himself driven to revisiting a childhood ambition to become a police officer; an ambition borne from the naïve hope of wanting to change racist attitudes from within.",TV-MA,84
31,On the Record,"May 27, 2020","On The Record presents the story of music executive Drew Dixon (collaborator on hit records by Method Man and Mary J. Blige, Estelle and Kanye West, and Whitney Houston) as she grapples with her decision to become one of the first women of color, in the wake of #MeToo, to come forward and publicly accuse hip-hop mogul Russell Simmons of sexual assault. The documentary chronicles not only Dixon's story but that of several other accusers – Sil Lai Abrams, Sheri Sher – delving deeply into the ways women of colors' voices are all too often silenced and ignored when they allege sexual assault; as well as the cultural forces that pressure them to remain silent.",TV-MA,84
32,The Vast of Night,"May 29, 2020","In the twilight of the 1950s, on one fateful night in New Mexico, a young, winsome switchboard operator Fay (Sierra McCormick) and charismatic radio DJ Everett (Jake Horowitz) discover a strange audio frequency that could change their small town and the future forever. Dropped phone calls, AM radio signals, secret reels of tape forgotten in a library, switchboards, crossed patchlines and an anonymous phone call lead Fay and Everett on a scavenger hunt toward the unknown.",PG-13,84
33,Boys State,"Aug 14, 2020","Boys State is a continually revealing immersion into a week-long annual program in which a thousand Texas high school seniors gather for an elaborate mock exercise: building their own state government. Filmmakers Jesse Moss and Amanda McBaine closely track the escalating tensions that arise within a particularly riveting gubernatorial race, training their cameras on unforgettable teenagers like Ben, a Reagan-loving arch-conservative who brims with confidence despite personal setbacks, and Steven, a progressive-minded child of Mexican immigrants who stands by his convictions amidst the sea of red. In the process, they have created a complex portrait of contemporary American masculinity, as well as a microcosm of our often dispiriting national political divisions that nevertheless manages to plant seeds of hope. ",PG-13,84
34,Our Time Machine,"Sep 11, 2020","When influential Chinese artist Ma Liang (a.k.a. Maleonn) realizes that his father Ma Ke, an accomplished Peking Opera director, is suffering from Alzheimer's disease, he invites his father to collaborate on his most ambitious project to date - a haunting, magical, autobiographical stage performance featuring life-size mechanical puppets called ""Papa's Time Machine"". Through the creation of this play, the two men confront their mortality before time runs out and memories are lost forever.",Not Rated,84
35,"Bloody Nose, Empty Pockets","Jul 8, 2020",A look at the final moments of a Las Vegas dive bar called 'The Roaring 20s'.,Not Rated,83
36,Soul,"Dec 25, 2020","Joe Gardner is a middle-school band teacher who gets the chance of a lifetime to play at the best jazz club in town. But one small misstep takes him from the streets of New York City to The Great Before – a fantastical place where new souls get their personalities, quirks and interests before they go to Earth. Determined to return to his life, Joe teams up with a precocious soul, 22, who has never understood the appeal of the human experience. As Joe desperately tries to show 22 what’s great about living, he may just discover the answers to some of life’s most important questions.",PG,83
37,I Wish I Knew,"Jan 24, 2020","Shanghai's past and present flow together in Jia Zhangke's poetic and poignant portrait of this fast-changing port city. Restoring censored images and filling in forgotten facts, Jia provides an alternative version of 20th century China's fraught history as reflected through life in the Yangtze city.He builds his narrative through a series of eighteen interviews with people from all walks of life-politicians' children, ex-soldiers, criminals, and artists (including Taiwanese master Hou Hsiao-hsien)-- while returning regularly to the image of his favorite lead actress, Zhao Tao, wandering through the Shanghai World Expo Park. (The film was commissioned by the World Expo, but is anything but a piece of straightforward civic boosterism.) A richly textured tapestry full of provocative juxtapositions. [Kino Lorber]",Not Rated,83
38,Saint Frances,"Feb 28, 2020","Flailing thirty-four-year-old Bridget (Kelly O'Sullivan) finally catches a break when she meets a nice guy and lands a much-needed job nannying six-year-old Frances (played by a scene-stealing Ramona Edith-Williams). But an unwanted pregnancy introduces an unexpected complication. To make matters worse, she clashes with the obstinate Frances and struggles to navigate a growing tension between Frances' moms. Amidst her tempestuous personal relationships, a reluctant friendship with Frances emerges, and Bridget contends with the inevitable joys and shit-shows of becoming a part of someone else's family.",Not Rated,83
39,One Night in Miami,"Dec 25, 2020","On one incredible night in 1964, four icons of sports, music, and activism gathered to celebrate one of the biggest upsets in boxing history. When underdog Cassius Clay, soon to be called Muhammad Ali, (Eli Goree), defeats heavy weight champion Sonny Liston at the Miami Convention Hall, Clay memorialized the event with three of his friends: Malcolm X (Kingsley Ben-Adir), Sam Cooke (Leslie Odom Jr.) and Jim Brown (Aldis Hodge).",R,83
40,Palm Springs,"Jul 10, 2020","While stuck at a wedding in Palm Springs, Nyles (Andy Samberg) meets Sarah (Cristin Milioti), the maid of honor and family black sheep. After he rescues her from a disastrous toast, Sarah becomes drawn to Nyles and his offbeat nihilism. But when their impromptu tryst is thwarted by a surreal interruption, Sarah must join Nyles in embracing the idea that nothing really matters, and they begin wreaking spirited havoc on the wedding celebration.",R,83
41,Driveways,"May 7, 2020","Kathy (Hong Chau), a single mother, travels with her shy eight-year-old son Cody (Lucas Jaye) to Kathy's late sister's house which they plan to clean and sell. As Kathy realizes how little she knew about her sister, Cody develops an unlikely friendship with Del (Brian Dennehy), the Korean War vet and widower who lives next door. Over the course of a summer, and with Del's encouragement, Cody develops the courage to come out of his shell and, along with his mother, finds a new place to call home.",Not Rated,83
42,Dear Comrades!,"Dec 25, 2020","Novocherkassk, a provincial town in the south of the USSR, 1962. Lyudmila, a devout Communist Party official and idealistic veteran of WWII, is a scourge of anything she perceives as anti- Soviet sentiment. Together with other local Party officials, she is taken by surprise by a strike at the local factory, in which her own daughter is taking part. As the situation quickly spirals out of control, Lyudmila begins a desperate search for her daughter in the face of curfews, mass arrests, and the authorities' ruthless attempts to cover up the state violence. Her once unquestioning faith in the Party line is shaken by her growing awareness of its human toll, tearing apart the world she thought she knew.",Not Rated,82
43,Residue,"Sep 17, 2020","A young filmmaker returns home after many years away, to write a script about his childhood, only to find his neighborhood unrecognizable and his childhood friends being scattered to the wind.",Not Rated,82
44,House of Hummingbird,"Jun 26, 2020","Seoul, 1994: A lonely 14-year-old Eun-hee moves through life like a hummingbird searching for a taste of sweetness wherever she may find it. Deprived of attention from her family, she roams the neighborhood with her best friend, attempts romantic relationships with both girls and boys alike and is sent to the hospital with an unclear diagnosis. When new teacher Young-ji arrives, she becomes the first adult Eun-hee feels really understands her.",Not Rated,82
45,Sorry We Missed You,"Mar 4, 2020","Ricky, a former laborer, and his home-attendant wife Abby—who lost their home in the 2008 financial crash—are desperate to get out of their financial distress. When an opportunity comes up for Ricky to work as his own boss as a delivery driver, they sell their only asset, Abby’s car, to trade it in for a shiny new white van and the dream that Ricky can work his way up to someday owning his own delivery franchise.  But the couple find their lives are quickly pushed further to the edge by an unrelenting work schedule, a ruthless supervisor and the needs of their two teenage children.  [Zeitgeist Films]",Not Rated,82
46,Sound of Metal,"Nov 20, 2020","During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recovering heroin addict into a secluded sober house for the deaf in hopes it will prevent a relapse and help him learn to adapt to his new situation. But after being welcomed into a community that accepts him just as he is, Ruben has to choose between his equilibrium and the drive to reclaim the life he once knew. ",R,82
47,Da 5 Bloods,"Jun 12, 2020","Four African-American Vets — Paul (Delroy Lindo), Otis (Clarke Peters), Eddie (Norm Lewis), and Melvin (Isiah Whitlock, Jr.) — return to Vietnam. Searching for the remains of their fallen Squad Leader (Chadwick Boseman) and the promise of buried treasure, our heroes, joined by Paul's concerned son (Jonathan Majors), battle forces of Man and Nature — while confronted by the lasting ravages of The Immorality of The Vietnam War. [Netflix]",R,82
48,The Climb,"Nov 13, 2020","Kyle and Mike are best friends who share a close bond — until Mike sleeps with Kyle's fiancée. The Climb is about a tumultuous but enduring relationship between two men across many years of laughter, heartbreak and rage. It is also the story of real-life best friends who turn their profound connection into a rich, humane and frequently uproarious film about the boundaries (or lack thereof) in all close friendships.",R,82
49,Oliver Sacks: His Own Life,"Sep 23, 2020","Oliver Sacks: His Own Life explores the life and work of the legendary neurologist and storyteller, as he shares intimate details of his battles with drug addiction, homophobia, and a medical establishment that accepted his work only decades after the fact. Sacks was a fearless explorer of unknown mental worlds who helped redefine our understanding of the brain and mind, the diversity of human experience, and our shared humanity.",Not Rated,82
50,Bacurau,"Mar 6, 2020","A few years from now... Bacurau, a small village in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their village has literally vanished from most maps and a UFO-shaped drone starts flying overhead. There are forces that want to expel them from their homes.",Not Rated,82
51,A Thousand Cuts,"Aug 7, 2020","Nowhere is the worldwide erosion of democracy, fueled by social media disinformation campaigns, more starkly evident than in the authoritarian regime of Philippine President Rodrigo Duterte. Journalist Maria Ressa places the tools of the free press—and her freedom—on the line in defense of truth and democracy.",Not Rated,81
52,Make Up,"Nov 13, 2020","On a remote holiday park in Cornwall, a young woman is drawn into a mysterious obsession when she suspects her boyfriend has cheated on her.",TV-MA,81
53,The Dissident,"Dec 25, 2020","When Washington Post journalist Jamal Khashoggi disappears in Istanbul, his fiancée and dissidents around the world piece together the clues to a murder and expose a global cover up.",PG-13,81
54,Premature,"Feb 21, 2020","On a summer night in Harlem during her last months at home before starting college, seventeen-year-old poet Ayanna (Zora Howard) meets Isaiah (Joshua Boone), a charming music producer who has just moved to the city. It’s not long before these two artistic souls are drawn together in a passionate summer romance. But as the highs of young love give way to jealousy, suspicion, and all-too-real consequences, Ayanna must confront the complexities of the adult world—whether she is ready or not. [IFC Films]",Unrated,81
55,The Go-Go's,"Jul 31, 2020",The Go-Go's are the most successful female rock band of all time. This documentary chronicles the meteoric rise of a band born of the LA punk scene that not only captured but created a zeitgeist.,TV-MA,81
56,"A White, White Day","Apr 17, 2020","In a remote Icelandic town, an off-duty police chief (Ingvar Sigurdsson) begins to suspect a local man of having had an affair with his late wife, who died in a tragic accident two years earlier. Gradually his obsession for finding out the truth takes over his life and inevitably begins to endanger himself and his loved ones. [Film Movement]",Unrated,81
57,She Dies Tomorrow,"Jul 31, 2020","After waking up convinced that she is going to die tomorrow, Amy’s carefully mended life begins to unravel. As her delusions of certain death become contagious to those around her, Amy and her friends’ lives spiral out of control in a tantalizing descent into madness.",R,81
58,The Nest,"Sep 18, 2020","Rory (Jude Law), an ambitious entrepreneur and former commodities broker, persuades his American wife, Allison (Carrie Coon), and their children to leave the comforts of suburban America and return to his native England during the 1980s. Sensing opportunity, Rory rejoins his former firm and leases a centuries-old country manor, with grounds for Allison’s horses and plans to build a stable. Soon the promise of a lucrative new beginning starts to unravel, the couple have to face the unwelcome truths lying beneath the surface of their marriage.",R,81
59,Coup 53,"Aug 19, 2020","Ten years in the making, Coup 53 tells the story of the 1953 the Anglo-American coup d'état that overthrew Iran's government of Prime Minister Mohammad Mossadegh and reinstalled the Shah. The CIA/MI6 covert action was called Operation Ajax. It was all about Iran’s oil and who gets to control and benefit from it. BP was at the heart of this story. Shot in seven countries, featuring participants and first-hand witnesses, and unearthing never seen before archive material, Coup 53 is a politically explosive and cinematically innovative documentary that lifts the lid on secrets buried for over sixty-six years.",Not Rated,80
60,Totally Under Control,"Oct 13, 2020","On January 20th, 2020 the US and South Korea both discovered their first cases of COVID-19. However, 9 months later, the novel Coronavirus has claimed the lives of over 200,000 Americans and caused staggering economic damage, while in South Korea, there were no significant lockdowns and, in an urbanized population of 51 million, only 344 lives have been lost. Where did we go wrong? As the presidential election nears, Americans are increasingly enraged by a lack of clear leadership, endemic political corruption and left to wonder how did the wealthiest and most powerful country in the world manage to fail so thoroughly in its response to a global pandemic? ",TV-14,80
61,Cane River,"Feb 7, 2020","Written, produced, and directed by Emmy Award-winning documentarian, Horace B. Jenkins, and crafted by an entirely African American cast and crew, Cane River is a racially-charged love story in Natchitoches Parish, a “free community of color” in Louisiana. A budding, forbidden romance lays bare the tensions between two black communities, both descended from slaves but of disparate opportunity—the light-skinned, property-owning Creoles and the darker-skinned, more disenfranchised families of the area.",Not Rated,80
62,White Riot,"Oct 16, 2020","Britain, late-1970s. Punk is exploding. The country is deeply divided over immigration. The National Front, a far-right and fascist political party, is gaining strength as politicians like Enoch Powell push a xenophobic agenda. Outraged by a racist speech from Eric Clapton, music photographer Red Saunders writes a letter to the music press, calling for rock to be a force against racism. NME, Melody Maker, and Sounds all publish the letter. Flooded with responses, Red discovers many share his views. Teaming up with like-minded creatives Roger Huddle, Kate Webb, Syd Shelton and Australian graphic designer Ruth Gregory, the team bands together to create Rock Against Racism (RAR) and a fanzine, Temporary Hoarding. Speaking directly to the youth, Temporary Hoarding reports stories and issues that the mainstream British media ignores, like immigration, the Catholic side of the Northern Ireland conflict, and the police’s controversial “suspected persons” (sus) powers. They give a voice to the voiceless. The National Front begins to strike back, committing acts of violence against RAR supporters and petrol-bombing their HQ. Despite this, RAR spreads virally across the UK and into Europe, becoming a grassroots youth movement. The Clash, Steel Pulse, Tom Robinson and other top bands of the day jump on board. White Riot is a moment in time when music changed the world. When a generation challenged the status quo. It’s Woodstock meets the March on Washington, punk-style.",Not Rated,80
63,The Forty-Year-Old Version,"Oct 2, 2020","Radha, a down-on-her-luck NY playwright, is desperate for a breakthrough before 40. But when she foils what seems like her last shot at success, she’s left with no choice but to reinvent herself as rapper RadhaMUSPrime. The Forty-Year-Old Version follows Radha as she vacillates between the worlds of Hip Hop and theater on a quest to find her true voice.


",R,80
64,Ham on Rye,"Oct 23, 2020","A bizarre rite of passage at the local deli determines the fate of a generation of teenagers, leading some to escape their suburban town and dooming others to remain.",TV-14,80
65,Desert One,"Aug 21, 2020","Using new archival sources and unprecedented access to key players on both sides, master documentarian Barbara Kopple (Harlan County, USA) reveals the true story behind one of the most daring rescues in modern US history: a secret mission to free hostages captured during the 1979 Iranian revolution.",Not Rated,80
66,Jezebel,"Jan 17, 2020","In the last days of her mother's life, 19 year old Tiffany crashes with five family members in a Las Vegas studio apartment. In order to make ends meet, her older sister, a phone sex operator, introduces her to the world of internet fetish cam girls. Tiffany becomes popular as the only ""live black model"" at the new adult site and soon becomes too close to one of her frequent callers. Dynamics shift in the sister relationship as each woman explores and exploits their sexuality, using their created fantasy worlds as an escape from the realities of their challenging real life circumstances. ",Not Rated,80
67,Mank,"Nov 13, 2020",1930s Hollywood is re-evaluated through the eyes of scathing social critic and alcoholic screenwriter Herman J. Mankiewicz as he races to finish the screenplay of Citizen Kane for Orson Welles.,R,79
68,The Cordillera of Dreams,"Feb 12, 2020","Patricio Guzmán left Chile more than 40 years ago when the military dictatorship took over the democratically-elected government, but he never stopped thinking about a country, a culture, and a place on the map that he never forgot. After covering the North in Nostalgia for the Light and the South in The Pearl Button, his shots get up-close with what he calls ""the vast revealing backbone of Chile's past and recent history.",Not Rated,79
69,Bad Education,"Apr 25, 2020","Long Island school superintendent Frank Tassone (Hugh Jackman) and his assistant superintendent for business, Pam Gluckin (Allison Janney), are credited with bringing Roslyn School District unprecedented prestige. Frank, always immaculately groomed and tailored, is a master of positive messaging, whether before an audience of community leaders or in an office with a concerned student or parent. In short, it seems Frank can do no wrong. That is, until a plucky student reporter (Geraldine Viswanathan) decides to dig deep into some expense reports and begins to uncover an embezzlement scheme of epic proportions, prompting Frank to devise an elaborate cover-up — by any means necessary. [TIFF]",TV-MA,79
70,An Easy Girl,"Aug 13, 2020","Naïma has just turned 16. This summer, she will have to decide what she wants from life if she doesn’t want to miss out. Then her cousin Sofia arrives – 22, with an amazing body and a dangerously seductive lifestyle. Naïma desires only to follow her own path, so long as it leads upwards… Despite the warnings of her best friend Dodo, she and Sofia will live through unforgettable encounters during a long summer that will mark them forever.",TV-MA,79
71,Feels Good Man,"Sep 4, 2020","Artist Matt Furie, creator of the comic character Pepe the Frog, begins an uphill battle to take back his iconic cartoon image from those who used it for their own purposes.",Not Rated,79
72,La Llorona,"Aug 6, 2020","Indignant retired general Enrique finally faces trial for the genocidal massacre of thousands of Mayans decades ago. As a horde of angry protestors threatens to invade their opulent home, the women of the house—his haughty wife, conflicted daughter, and precocious granddaughter—weigh their responsibility to shield the erratic, senile Enrique against the devastating truths being publicly revealed and the increasing sense that a wrathful supernatural force is targeting them for his crimes. Meanwhile, much of the family’s domestic staff flees, leaving only loyal housekeeper Valeriana until a mysterious young Indigenous maid arrives.",Not Rated,79
73,Fourteen,"May 15, 2020","Mara and Jo, in their twenties, have been close friends since middle school. Jo, the more outgoing figure, is a social worker who runs through a series of brief but intense relationships. Mara, a less splashy personality than Jo, bounces among teacher aide jobs while trying to land a position in elementary education, and writes fiction in her spare time. She too has a transient romantic life, though she seems to settle down after meeting Adam, a mild-mannered software developer. It soon becomes apparent that Jo, despite her intellectual gifts, is unreliable in her professional life, losing and acquiring jobs at a troubling rate. Substance abuse may be responsible for Jo’s instability… but some observers suspect a deeper problem. Over the course of a decade, the more stable Mara sometimes tries to help, sometimes backs away to preserve herself, but never leaves behind her powerful childhood connection with Jo.",Not Rated,79
74,Disclosure,"Jun 19, 2020","Disclosure is an unprecedented, eye-opening look at transgender depictions in film and television, revealing how Hollywood simultaneously reflects and manufactures our deepest anxieties about gender. Leading trans thinkers and creatives, including Laverne Cox, Lilly Wachowski, Yance Ford, MJ Rodriguez, Jamie Clayton, and Chaz Bono, share their reactions and resistance to some of Hollywood’s most beloved moments. [Netlfix]",TV-MA,79
75,The Assistant,"Jan 31, 2020","The Assistant follows one day in the life of Jane (Julia Garner), a recent college graduate and aspiring film producer, who has recently landed her dream job as a junior assistant to a powerful entertainment mogul. Her day is much like any other assistant’s – making coffee, changing the paper in the copy machine, ordering lunch, arranging travel, taking phone messages, onboarding a new hire. But as Jane follows her daily routine, she, and we, grow increasingly aware of the abuse that insidiously colors every aspect of her work day, an accumulation of degradations against which Jane decides to take a stand, only to discover the true depth of the system into which she has entered",R,79
76,A Shaun the Sheep Movie: Farmageddon,"Feb 14, 2020","When an alien with amazing powers crash-lands near Mossy Bottom Farm, Shaun the Sheep goes on a mission to shepherd the intergalactic visitor home before a sinister organization can capture her.",TV-Y,79
77,Another Round,"Dec 4, 2020","There's a theory that we should be born with a small amount of alcohol in our blood, and that modest inebriation opens our minds to the world around us, diminishing our problems and increasing our creativity. Heartened by that theory, Martin and three of his friends, all weary high school teachers, embark on an experiment to maintain a constant level of intoxication throughout the workday. If Churchill won WW2 in a heavy daze of alcohol, who knows what a few drops might do for them and their students? Initial results are positive, and the teachers' little project turns into a genuine academic study. Both their classes and their results continue to improve, and the group feels alive again! As the units are knocked back, some of the participants see further improvement and others go off the rails. It becomes increasingly clear that while alcohol may have fueled great results in world history, some bold acts carry consequences.",TV-MA,79
